"Progress","ResponseId","Q39","Q18_1_1","Q18_1_2","Q18_1_3","Q18_1_4","Q18_1_5","Q18_1_6","Q18_1_7","Q18_1_8"
"Progress","Response ID","Which of these store brands do you know?","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_01zaEUGH1XsJB9r","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_0CEHZPxAI4TVqkJ","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_bOUrSoDKjZhocAZ","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_dgMuIHcFO2kvfGB","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_eKA6tz8Fb3F8PYh","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_42QW2bnz11PY0rr","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_54M9SLluyXBCYCN","Imagine you are doing your grocery shopping. What is the maximum amount you are willing to pay for each of the following product pairs? (Please state your price in € - e.g.: €2.5) - Maximum willingness to pay
 - IM_eqzG2W4LbJIBwR7"
"{""ImportId"":""progress""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID58""}","{""ImportId"":""QID35_1_1""}","{""ImportId"":""QID35_1_2""}","{""ImportId"":""QID35_1_3""}","{""ImportId"":""QID35_1_4""}","{""ImportId"":""QID35_1_5""}","{""ImportId"":""QID35_1_6""}","{""ImportId"":""QID35_1_7""}","{""ImportId"":""QID35_1_8""}"
"100","R_1MJUQUhiKwx2IzW","1,2,3,4,5,6,7,8","2.5","1.5","2","3","2","1.5","2","1.5"
"100","R_DzQyX0VQ1wJCHrX","1,2,3,4,5,6,7,8","3.5","3","3.5","4","2.5","2","2","1.5"
"100","R_1DCQgnHAXdnP7fl","1,2,3,4,5,6,7,8","2","2","2.5","3","2.5","1.5","2","1.8"
"100","R_3s5LA1WJX922dkb","2,4,5,7,8","2.5",".99","2.00","2.50","2.00",".99","1.99","1.99"
"100","R_85EN7D7yxhD4L4J","1,2,3,4,5,6,7,8","2","2","3","3","2","2","1.5","1.5"
"100","R_1jqUcCG1C3vePS5","1,2,3,4,5,6,7,8","2","1.5","2","3","3.5","3","3","3"
"100","R_2WMXvmqXeCgiOw7","1,2,3,4,5,6,7,8","2.9","1.9","2.5","2.8","2.9","1.9","1.9","1.0"
"100","R_2w7Fk8RjbtI88cU","1,2,3,4,5,6,7,8","0.50","0.50","1","1.5","1.5","1","2","2"
"100","R_3IWZc8ITxhGFD51","1,2,3,4,5,6,7,8","2€","1€","2€","2,5€","1,5€","1€","1,2€","0,9€"
"100","R_1kSPHdS1wk2UbOY","1,2,3,4,5,6,7,8","€3","€2","€5","€6","€1.90","€1.50","€4","€2.50"
"100","R_eVsQddf7ZC5UOFb","1,2,3,4,5,6,7,8","€3","€2.5","€3","€4","€2.5","€2","€3","€3"
"100","R_25RaSrrUJpkQUT2","1,2,3,4,5,6,7,8","2.5","2.0","3","3.5","3","2","2.5","2.5"
"100","R_21pTVWFUSGf7V48","1,2,3,4,5,6,7,8","3","2.5","2.5","3.5","2.5","2.5","3.5","3.5"
"100","R_w505CB2LpzuvEGZ","1,2,3,4,5,6,7,8","2,5","1,5","3","3","2","2","1","1"
"100","R_3PbIH0kKnYDXaDf","1,2,3,4,5,6,7,8","3.0","2.5","3.5","4.5","2.5","1.5","1.5","1.5"
"100","R_2whJ5Q5nI4TR6Gq","1,2,3,4,5,7,8","2,00","1,50","3,00","3,00","2,20","2,00","2,20","2,00"
"100","R_ageu71GOp107fhf","1,2,3,4,5,7","1","1","1","1","1","1","1","1"
"100","R_1Nqe1MU8xd6sFjP","1,2,3,4,5,7,8","€2.8","€2.0","2.0","3.0","2.0","1.5","1.80","1.10"
"100","R_3j8s7G4LIIlcHDw","1,2,3,4,5,6,7,8","1.5","1.8","2.0","2.9","2.5","2.0","1.3","1.8"
"100","R_9KXjLrbN48cmczn","1,2,3,4,5,6,7,8","€3","€1.80","€3","€4","€3.50","€2","€3","€2"
"100","R_1pDn4mGrhwUFdEV","1,2,3,5,7,8","3,00","1,20","0,80","1,2","2,5","1,50","1,05","0,80"
